This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Account Statement for D-16557375 (margin) since 2/7/23 through 2/7/23

Cash Balance
DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
2/7/23,01:00:00,BAL,,Cash balance at the start of business day 07.02 CST,,,,"98,671.16"
2/7/23,09:35:10,TRD,1627899114,SOLD -1 /NQH23:XCME @12500.75,-1.19,-2.25,,"98,667.72"
2/7/23,09:35:26,TRD,1627899164,BOT +2 /NQH23:XCME @12503.75,-2.38,-4.50,-60.00,"98,600.84"
2/7/23,09:35:55,TRD,1627901263,SOLD -2 /NQH23:XCME @12496.50,-2.38,-4.50,-145.00,"98,448.96"
2/7/23,09:36:31,TRD,1627903339,BOT +1 /NQH23:XCME @12494.50,-1.19,-2.25,40.00,"98,485.52"
2/7/23,09:36:50,TRD,1627903380,SOLD -1 /NQH23:XCME @12490.50,-1.19,-2.25,,"98,482.08"
2/7/23,09:37:23,TRD,1627906539,BOT +1 /NQH23:XCME @12502.50,-1.19,-2.25,-240.00,"98,238.64"
2/7/23,09:37:35,TRD,1627906566,BOT +1 /NQH23:XCME @12508.25,-1.19,-2.25,,"98,235.20"
2/7/23,09:37:46,TRD,1627906595,SOLD -1 /NQH23:XCME @12519.50,-1.19,-2.25,225.00,"98,456.76"
2/7/23,09:37:55,TRD,1627909925,SOLD -1 /NQH23:XCME @12519.25,-1.19,-2.25,,"98,453.32"
2/7/23,09:38:09,TRD,1627909969,BOT +1 /NQH23:XCME @12519.25,-1.19,-2.25,,"98,449.88"
2/7/23,09:38:20,TRD,1627912321,BOT +1 /NQH23:XCME @12524.25,-1.19,-2.25,,"98,446.44"
2/7/23,09:38:35,TRD,1627912370,SOLD -1 /NQH23:XCME @12518.50,-1.19,-2.25,-115.00,"98,328.00"
2/7/23,09:39:13,TRD,1627914556,BOT +1 /NQH23:XCME @12521.75,-1.19,-2.25,,"98,324.56"
2/7/23,09:39:35,TRD,1627917108,SOLD -1 /NQH23:XCME @12521.75,-1.19,-2.25,,"98,321.12"
2/7/23,09:40:09,TRD,1627917161,BOT +1 /NQH23:XCME @12532.25,-1.19,-2.25,,"98,317.68"
2/7/23,09:40:15,TRD,1627917188,SOLD -1 /NQH23:XCME @12533.75,-1.19,-2.25,30.00,"98,344.24"
2/7/23,09:41:03,TRD,1627921677,SOLD -1 /NQH23:XCME @12519.50,-1.19,-2.25,,"98,340.80"
2/7/23,09:41:13,TRD,1627923601,BOT +1 /NQH23:XCME @12512.75,-1.19,-2.25,135.00,"98,472.36"
2/7/23,09:42:05,TRD,1627926536,BOT +1 /NQH23:XCME @12513.75,-1.19,-2.25,,"98,468.92"
2/7/23,09:42:11,TRD,1627926555,SOLD -1 /NQH23:XCME @12520.50,-1.19,-2.25,135.00,"98,600.48"
2/7/23,09:42:52,TRD,1627928400,BOT +1 /NQH23:XCME @12520.00,-1.19,-2.25,,"98,597.04"
2/7/23,09:42:59,TRD,1627929323,SOLD -1 /NQH23:XCME @12522.00,-1.19,-2.25,40.00,"98,633.60"
2/7/23,09:43:26,TRD,1627929391,SOLD -1 /NQH23:XCME @12533.75,-1.19,-2.25,,"98,630.16"
2/7/23,09:43:51,TRD,1627931774,BOT +1 /NQH23:XCME @12529.50,-1.19,-2.25,85.00,"98,711.72"
2/7/23,09:44:13,TRD,1627933329,SOLD -1 /NQH23:XCME @12530.25,-1.19,-2.25,,"98,708.28"
2/7/23,09:44:34,TRD,1627933396,BOT +1 /NQH23:XCME @12534.75,-1.19,-2.25,-90.00,"98,614.84"
2/7/23,09:45:29,TRD,1627937914,SOLD -1 /NQH23:XCME @12529.75,-1.19,-2.25,,"98,611.40"
2/7/23,09:45:52,TRD,1627937964,BOT +1 /NQH23:XCME @12526.50,-1.19,-2.25,65.00,"98,672.96"
2/7/23,09:46:11,TRD,1627940221,SOLD -1 /NQH23:XCME @12522.00,-1.19,-2.25,,"98,669.52"
2/7/23,09:47:50,TRD,1627945308,BOT +1 /NQH23:XCME @12517.75,-1.19,-2.25,85.00,"98,751.08"
